Àðòèêóë;x1;y1;x2;y2;x3;y3;x4;y4;x5;y5;x6;y6
118134;30;98;65;98;30;98;0;0;0;0;0;0
109661;27;27;26;27;27;27;26;27;0;0;0;0
109662;34;34;34;34;34;34;34;34;0;0;0;0
109663;41;41;41;41;41;41;41;41;0;0;0;0
109664;48;49;48;49;48;49;48;49;0;0;0;0
118161;19;44;24;60;22;49;15;35;0;0;0;0
118162;24;57;31;78;28;63;19;46;0;0;0;0
118163;29;70;39;95;35;78;24;56;0;0;0;0
118164;35;83;46;113;41;92;28;66;0;0;0;0
118171;27;61;27;61;27;61;0;0;0;0;0;0
118172;35;79;35;79;35;79;0;0;0;0;0;0
118173;43;97;43;97;43;97;0;0;0;0;0;0
118174;51;115;51;115;51;115;0;0;0;0;0;0
109801;19;45;19;45;19;45;0;0;0;0;0;0
109802;26;62;26;62;26;62;0;0;0;0;0;0
109803;34;79;34;79;34;79;0;0;0;0;0;0
109804;41;97;41;97;41;97;0;0;0;0;0;0
109871;42;87;0;0;0;0;0;0;0;0;0;0
109872;54;112;0;0;0;0;0;0;0;0;0;0
109873;66;137;0;0;0;0;0;0;0;0;0;0
109874;78;162;0;0;0;0;0;0;0;0;0;0
109931;35;20;35;20;35;20;0;0;0;0;0;0
109932;48;27;48;27;48;27;0;0;0;0;0;0
109933;61;34;61;34;61;34;0;0;0;0;0;0
109934;75;42;75;42;75;42;0;0;0;0;0;0
110271;20;53;20;53;20;53;20;53;0;0;0;0
110272;26;69;26;69;26;69;26;69;0;0;0;0
110273;32;85;32;85;32;85;32;85;0;0;0;0
110274;38;101;38;101;38;101;38;101;0;0;0;0
110621;19;54;42;54;19;54;0;0;0;0;0;0
110622;25;70;55;70;25;70;0;0;0;0;0;0
110623;31;86;67;86;31;86;0;0;0;0;0;0
110624;36;101;80;101;36;101;0;0;0;0;0;0
118321;27;59;28;59;27;59;0;0;0;0;0;0
118322;35;77;36;77;35;77;0;0;0;0;0;0
118323;43;94;44;94;43;94;0;0;0;0;0;0
118324;51;111;52;111;51;111;0;0;0;0;0;0
110671;27;52;27;52;27;52;0;0;0;0;0;0
110672;35;67;35;67;35;67;0;0;0;0;0;0
110673;43;82;43;82;43;82;0;0;0;0;0;0
110674;51;98;51;98;51;98;0;0;0;0;0;0
110711;29;29;29;29;29;29;0;0;0;0;0;0
110712;38;39;38;39;38;39;0;0;0;0;0;0
110713;48;48;48;48;48;48;0;0;0;0;0;0
110714;57;58;57;58;57;58;0;0;0;0;0;0
110881;17;45;23;57;23;57;17;45;0;0;0;0
110882;22;58;30;74;30;73;22;58;0;0;0;0
110883;27;71;36;91;36;90;27;71;0;0;0;0
110884;32;84;43;107;43;107;32;84;0;0;0;0
110891;19;47;19;47;19;47;0;0;0;0;0;0
110892;26;65;26;65;26;65;0;0;0;0;0;0
110893;34;83;34;83;34;83;0;0;0;0;0;0
110894;41;102;41;102;41;102;0;0;0;0;0;0
118391;20;49;20;49;20;49;20;49;0;0;0;0
118392;26;63;26;63;26;63;26;63;0;0;0;0
118393;32;77;32;77;32;77;32;77;0;0;0;0
118394;38;92;38;92;38;92;38;92;0;0;0;0
117051;20;46;20;46;20;46;20;46;0;0;0;0
117052;26;59;26;59;26;59;26;59;0;0;0;0
117053;32;73;32;73;32;73;32;73;0;0;0;0
117054;38;86;38;86;38;86;38;86;0;0;0;0
111121;12;36;12;42;15;48;16;56;19;64;0;0
111122;16;47;16;55;19;62;21;73;25;83;0;0
111123;20;57;20;67;23;76;26;89;30;102;0;0
111124;23;68;23;80;28;90;31;106;36;121;0;0
118461;23;56;23;55;17;40;17;40;0;0;0;0
118462;29;72;29;71;22;52;22;52;0;0;0;0
118463;36;89;36;88;26;64;27;64;0;0;0;0
118464;43;105;43;104;31;76;32;75;0;0;0;0
111241;33;44;25;35;0;0;0;0;0;0;0;0
111242;45;61;35;48;0;0;0;0;0;0;0;0
111243;58;78;45;61;0;0;0;0;0;0;0;0
111244;71;95;55;75;0;0;0;0;0;0;0;0
111311;27;57;27;57;27;57;0;0;0;0;0;0
111312;35;73;35;73;35;73;0;0;0;0;0;0
111313;42;90;42;90;42;90;0;0;0;0;0;0
111314;50;106;50;106;50;106;0;0;0;0;0;0
111341;60;38;0;0;0;0;0;0;0;0;0;0
111342;83;53;0;0;0;0;0;0;0;0;0;0
111343;106;68;0;0;0;0;0;0;0;0;0;0
111344;130;83;0;0;0;0;0;0;0;0;0;0
111351;27;58;27;58;27;58;0;0;0;0;0;0
111352;35;74;35;74;35;74;0;0;0;0;0;0
111353;43;91;43;91;43;91;0;0;0;0;0;0
111354;51;108;51;108;51;108;0;0;0;0;0;0
118491;17;45;23;57;23;57;17;45;0;0;0;0
118492;22;58;30;73;30;74;22;58;0;0;0;0
118493;27;71;36;90;36;91;27;71;0;0;0;0
118494;32;84;43;107;43;107;32;84;0;0;0;0
111491;42;20;42;20;42;20;0;0;0;0;0;0
111492;58;27;58;27;58;27;0;0;0;0;0;0
111493;74;35;74;35;74;35;0;0;0;0;0;0
111494;90;42;90;42;90;42;0;0;0;0;0;0
111501;38;20;38;20;38;20;0;0;0;0;0;0
111502;53;27;53;27;53;27;0;0;0;0;0;0
111503;67;34;67;34;67;34;0;0;0;0;0;0
111504;82;42;82;42;82;42;0;0;0;0;0;0
118511;17;35;23;49;23;49;17;35;0;0;0;0
118512;22;45;29;64;29;64;22;45;0;0;0;0
